Latitude,Longitude,AltitudeAMSL,Speed
49.228886,16.573002,295.895000,2.000000
49.228644,16.572248,300.937611,2.000000
49.228585,16.572067,308.628000,2.000000
49.228571,16.572024,308.695741,2.000000
49.228545,16.571953,306.628747,2.000000
49.228532,16.571905,305.295976,2.000000
49.228515,16.571851,305.389000,2.000000
49.228496,16.571798,306.885279,2.000000
49.228473,16.571721,309.134000,2.000000
49.228427,16.571582,309.325625,2.000000
49.228398,16.571523,308.687942,2.000000
49.228383,16.571481,308.880476,2.000000
49.228371,16.571410,309.480792,2.000000
49.228358,16.571358,310.051463,2.000000
49.228310,16.571214,311.638000,2.000000
49.228222,16.571280,311.879000,2.000000
49.228240,16.571335,311.760973,2.000000
49.228261,16.571417,309.150094,2.000000
49.228272,16.571473,307.560892,2.000000
49.228307,16.571538,306.343453,2.000000
49.228332,16.571614,307.669636,2.000000
49.228357,16.571692,309.070000,2.000000
49.228376,16.571747,309.087005,2.000000
49.228399,16.571823,306.310590,2.000000
49.228424,16.571895,305.211463,2.000000
49.228438,16.571937,304.146429,2.000000
49.228452,16.571983,304.734466,2.000000
49.228467,16.572024,305.361000,2.000000
49.228482,16.572074,307.260368,2.000000
49.228501,16.572128,308.415000,2.000000
49.228511,16.572160,308.298333,2.000000
49.228568,16.572287,303.792543,2.000000
49.228574,16.572351,299.146785,2.000000
49.228809,16.573063,295.855000,2.000000
49.228735,16.573120,295.915000,2.000000
49.228480,16.572360,301.653455,2.000000
49.228436,16.572231,307.076949,2.000000
49.228426,16.572197,307.144529,2.000000
49.228422,16.572144,307.758953,2.000000
49.228390,16.572080,305.652190,2.000000
49.228376,16.572055,303.968023,2.000000
49.228322,16.571940,305.010514,2.000000
49.228301,16.571875,306.744176,2.000000
49.228303,16.571841,306.866876,2.000000
49.228285,16.571784,308.190005,2.000000
49.228267,16.571728,308.060378,2.000000
49.228257,16.571701,307.496402,2.000000
49.228240,16.571648,307.862442,2.000000
49.228220,16.571607,306.593568,2.000000
49.228208,16.571584,308.198750,2.000000
49.228181,16.571438,308.821749,2.000000
49.228123,16.571487,309.642895,2.000000
49.228096,16.571544,306.563033,2.000000
49.228167,16.571739,307.640605,2.000000
49.228176,16.571765,307.583020,2.000000
49.228185,16.571791,307.873000,2.000000
49.228207,16.571859,307.840242,2.000000
49.228226,16.571915,305.909363,2.000000
49.228238,16.571951,304.930279,2.000000
49.228253,16.571992,303.772458,2.000000
49.228333,16.572237,304.770043,2.000000
49.228353,16.572294,306.240000,2.000000
49.228365,16.572332,306.089289,2.000000
49.228376,16.572361,305.413697,2.000000
49.228407,16.572452,300.458984,2.000000
49.228413,16.572472,299.583340,2.000000
49.228651,16.573184,295.766000,2.000000
49.228564,16.573251,295.666000,2.000000
49.228321,16.572516,300.698908,2.000000
49.228309,16.572482,302.232379,2.000000
49.228302,16.572462,302.939292,2.000000
49.228253,16.572309,304.958220,2.000000
49.228246,16.572256,303.352295,2.000000
49.228173,16.572063,304.191437,2.000000
49.228157,16.572015,304.953000,2.000000
49.228144,16.571975,306.712379,2.000000
49.228124,16.571917,308.127000,2.000000
49.228089,16.571809,307.665230,2.000000
49.228063,16.571733,307.042374,2.000000
49.228057,16.571680,310.067207,2.000000
49.228025,16.571616,311.984581,2.000000
49.227988,16.571537,307.483459,2.000000
49.227938,16.571645,307.520675,2.000000
49.227950,16.571684,307.086245,2.000000
49.227967,16.571746,305.922580,2.000000
49.227970,16.571776,305.328391,2.000000
49.228009,16.571886,307.676776,2.000000
49.228023,16.571924,308.052000,2.000000
49.228052,16.572011,307.967674,2.000000
49.228067,16.572055,306.640913,2.000000
49.228092,16.572104,305.299125,2.000000
49.228115,16.572138,304.238865,2.000000
49.228215,16.572510,302.079809,2.000000
49.228235,16.572571,299.893740,2.000000
49.228480,16.573316,295.594000,2.000000
